areaName,Borough,areaType,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
Lower East Side,Manhattan,neighborhood,2983,2950,3030,3204,3250,3200,3250,3323,3300,3300,3300,3250,3200,3250,3250,3400,3585,3600,3450,3500,3550,3600,3664,3700,3800,3910,3920,3695,3465,3199,3000,2994,2800,2800,2795,2750,2750,2700,2755,2807,3000,3100,3295,3475,3500,3500,3600,3695,3948,3999,4100,4147,4299,4200,4295,4265,4400,4173,3995,4000
Manhattan,Manhattan,borough,3200,3204,3200,3250,3300,3300,3300,3300,3299,3252,3250,3295,3275,3300,3300,3400,3460,3500,3499,3495,3500,3500,3500,3500,3500,3500,3500,3450,3300,3203,3100,2999,2914,2825,2800,2800,2778,2799,2800,2800,2895,2950,3000,3136,3250,3320,3495,3550,3725,3820,3895,4000,4040,4100,4195,4150,4195,4155,4100,4175
Marble Hill,Manhattan,neighborhood,,2200,2255,2320,,,2240,2220,2013,1975,2160,,,2050,2095,2363,,,2075,2175,,,2383,,2383,,2260,,,,,1838,,,,,,1895,1895,1895,1875,1885,,1850,1925,,,,1938,1950,,,,,,,2350,,,
Midtown,Manhattan,neighborhood,3863,3950,3900,3800,3800,3900,3873,3895,3930,3995,4000,3910,3859,3900,4000,4000,4200,4198,4125,4000,4125,4295,4328,4277,4034,4073,4150,3950,3700,3552,3500,3675,3600,3500,3497,3500,3400,3500,3500,3500,3842,3865,3990,4250,4513,4650,4587,4850,4995,4998,5000,5000,5200,4800,5000,4950,4993,5023,5190,5100
Midtown East,Manhattan,neighborhood,3250,3275,3287,3345,3395,3400,3420,3400,3395,3395,3400,3420,3389,3395,3400,3428,3495,3500,3594,3595,3575,3536,3600,3500,3573,3512,3500,3424,3295,3125,3000,2950,2850,2754,2750,2725,2719,2800,2850,2945,3000,3129,3350,3495,3695,3700,3995,3995,4200,4250,4230,4223,4195,4200,4299,4170,4200,4100,4100,4200
Midtown South,Manhattan,neighborhood,3572,3616,3598,3650,3675,3950,3850,4053,3988,3965,3840,3895,3800,3900,3995,3923,4000,4149,4155,4097,4195,4028,4028,4125,3992,4200,4156,3760,3696,3575,3458,3289,3200,3300,3100,3188,3200,3255,3286,3395,3655,3975,4070,4358,4598,4600,4595,4795,4995,4735,4673,4873,4995,5000,5000,4895,4748,4700,4550,4875
Midtown West,Manhattan,neighborhood,3297,3300,3300,3390,3450,3495,3454,3461,3500,3495,3470,3500,3450,3500,3500,3507,3575,3600,3650,3700,3650,3600,3606,3647,3600,3616,3600,3500,3300,3195,3042,2950,2900,2899,2850,2825,2899,2895,2933,3000,3000,3177,3421,3500,3700,3840,3900,4000,4195,4175,4150,4275,4415,4300,4300,4170,4210,4184,4195,4250
Morningside Heights,Manhattan,neighborhood,2900,2979,2995,2997,3150,3195,3200,3200,3100,3010,2975,2937,2995,2850,2929,3000,3145,3375,3295,3323,3295,3123,3200,3200,3200,3200,3200,3132,3367,3350,3170,2950,2853,2896,2850,2999,3200,3000,3195,3364,3431,3300,3300,3335,3095,3350,3600,3200,3295,3298,3766,4017,3900,4000,3750,3848,4350,3900,4215,3950
Nolita,Manhattan,neighborhood,3500,3495,3500,3595,3645,3695,3895,3714,3595,3650,3700,3500,3375,3500,3563,3750,3850,3795,3795,3895,3795,3795,3825,3895,3750,3895,3795,3750,3500,3500,3400,3200,3000,2995,2950,2800,2777,2625,2673,2698,3000,3573,3700,4048,3995,3995,3695,3625,4148,4000,4195,4495,4548,4825,5000,5300,4998,5200,4900,4900
Roosevelt Island,Manhattan,neighborhood,2995,3265,3200,3150,3260,3300,3433,3630,3415,3378,3277,3277,3423,3245,3245,3345,3278,3593,3595,3505,3595,3585,3850,3398,3400,3243,3106,3089,3198,3200,3300,3338,3325,3295,3310,3200,2933,2933,2895,3102,3185,3018,3395,3495,3367,3480,3679,3657,3679,3800,3468,3695,3878,4169,3998,4100,4119,4000,4150,4092
Soho,Manhattan,neighborhood,5500,6000,5400,5000,4995,4500,4997,5500,5500,5400,5500,5778,6200,5900,5025,4829,5150,5050,5198,5350,5398,5198,6600,6348,5095,4500,5450,5325,4448,4295,4095,4050,4165,3995,4159,4002,3850,4000,3994,3995,4200,4800,4900,5700,5600,6500,6700,6000,5998,5900,6000,6300,5650,5200,5400,5998,7250,6500,6900,6900
Stuyvesant Town/PCV,Manhattan,neighborhood,4157,4191,3804,3833,3818,3807,3822,3966,3769,4052,3741,3774,4127,3690,3655,3887,3910,3792,3881,3881,3885,3880,3885,3753,3892,4139,3908,3980,3945,3910,3902,3786,3770,3885,3785,3872,4235,3698,3677,3688,3565,3650,3982,4014,4187,4469,4644,4603,4854,4824,5161,5202,5355,5314,5174,4760,4695,4705,4895,5100
Tribeca,Manhattan,neighborhood,6640,6595,6871,7000,6598,7000,6995,7285,7291,6980,7143,6850,6724,6000,6300,6400,6500,6595,7100,6700,7600,7700,7450,7500,7098,7095,6800,6412,6798,7100,6995,6998,6800,6926,6784,6800,6473,5885,5499,5712,5995,6448,6500,6800,8000,7550,7495,8248,7400,7200,7295,7525,8248,8625,9000,9500,9700,10000,10500,9500
Upper East Side,Manhattan,neighborhood,2900,2895,2850,2850,2850,2900,2925,2900,2895,2995,2995,3000,3000,3000,2995,2995,3000,3050,3050,2995,3000,3100,3225,3295,3281,3250,3250,3195,3065,2950,2800,2700,2650,2500,2495,2500,2450,2475,2400,2400,2475,2499,2550,2700,2850,2950,3200,3390,3450,3550,3400,3400,3500,3500,3550,3750,3750,3800,3847,3826
Upper West Side,Manhattan,neighborhood,3350,3285,3250,3285,3300,3350,3320,3313,3395,3395,3350,3395,3395,3350,3395,3450,3463,3450,3400,3500,3600,3600,3650,3570,3650,3586,3508,3413,3300,3200,3150,3000,2925,2819,2800,2817,2800,2850,2800,2850,3000,3000,3200,3299,3557,3650,3800,3950,3996,4000,4100,4247,4250,4206,4450,4450,4500,4500,4500,4460
Washington Heights,Manhattan,neighborhood,2125,2135,2150,2150,2165,2200,2250,2250,2200,2235,2222,2195,2150,2200,2195,2195,2250,2300,2250,2250,2200,2200,2195,2200,2225,2250,2295,2253,2195,2250,2208,2195,2100,2100,2100,2000,2000,2000,2000,2050,2098,2129,2183,2200,2200,2200,2200,2250,2293,2295,2298,2300,2400,2547,2500,2450,2400,2450,2400,2400
West Harlem,Manhattan,neighborhood,2598,2623,2573,2775,2700,2650,2700,2800,2475,2497,2450,2392,2400,2369,2500,2585,2475,2695,2700,2600,2473,2461,2500,2495,2495,2600,2600,2500,2600,2550,2525,2295,2315,2295,2295,2280,2295,2293,2290,2300,2350,2300,2300,2500,2413,2300,2400,2468,2650,2625,2590,2687,2945,2898,3000,2850,2700,2600,2593,2600
West Village,Manhattan,neighborhood,3598,3600,3725,3795,3850,3825,3850,3900,3895,3805,3900,3850,3850,3800,3840,3965,4095,4250,4150,3995,3995,4100,4073,4114,4185,4100,4171,4125,3700,3648,3600,3485,3316,3245,3200,3150,3025,3195,3100,3250,3400,3500,3895,4198,4355,4425,4360,4495,4495,4600,4650,4800,4995,4900,5150,5000,5000,5250,5000,5000
